epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.26409,2.895,4.49373,2.26941,0.00242,0.66667,0.00257,0.0007,3.0543,5.19754,2.68744,0,0,0
2,7.93133,2.91078,5.19721,2.50228,0.00273,0.75,0.00398,0.00096,2.98119,5.34183,2.63904,1.9802e-05,1.9802e-05,1.9802e-05
3,11.5856,3.32648,4.5549,2.62004,0.00242,0.66667,0.00265,0.00071,3.02809,5.2323,2.67972,3.9208e-05,3.9208e-05,3.9208e-05
4,15.0234,3.05036,5.11035,2.29865,0.00303,0.83333,0.00557,0.00147,2.85089,5.33027,2.53606,5.8218e-05,5.8218e-05,5.8218e-05
5,19.6418,2.60922,4.16888,1.99502,0.00273,0.75,0.00537,0.00123,2.88869,4.94404,2.48456,7.6832e-05,7.6832e-05,7.6832e-05
6,23.7619,2.67813,4.16007,2.03217,0.00333,0.91667,0.00459,0.0012,2.55708,4.73916,2.26439,9.505e-05,9.505e-05,9.505e-05
7,27.4704,2.5142,4.07541,1.88777,0.00364,1,0.00698,0.002,2.54745,4.53197,2.14977,0.000112872,0.000112872,0.000112872
8,31.3342,2.51508,3.9096,1.82803,0.00333,0.91667,0.01247,0.00528,2.38198,4.47006,2.01961,0.000130298,0.000130298,0.000130298
9,35.5383,2.36914,4.15927,1.75679,0.00333,0.91667,0.01797,0.00778,2.15136,4.32327,1.88559,0.000147328,0.000147328,0.000147328
10,39.4434,2.05071,4.09551,1.75685,0.00333,0.91667,0.03475,0.01432,2.01672,4.21639,1.80354,0.000163962,0.000163962,0.000163962
11,43.1588,1.76728,3.65089,1.61656,0.00364,1,0.09281,0.03015,1.82872,4.19278,1.69,0.0001802,0.0001802,0.0001802
12,46.9571,1.7262,3.60911,1.51636,0.00364,1,0.03149,0.01374,1.73989,3.92761,1.51349,0.000196042,0.000196042,0.000196042
13,50.7496,1.9242,3.71891,1.66735,0.00364,1,0.18257,0.06209,1.66282,3.76133,1.38497,0.000211488,0.000211488,0.000211488
14,54.2185,1.75814,3.54797,1.53109,0.00364,1,0.28131,0.08055,1.63318,3.81057,1.29136,0.000226538,0.000226538,0.000226538
15,58.0824,1.58241,3.47232,1.35339,0.00364,1,0.28661,0.09977,1.53232,3.7306,1.2022,0.000241192,0.000241192,0.000241192
16,61.6661,1.54751,3.21622,1.351,0.00364,1,0.33713,0.18404,1.39239,3.74004,1.15674,0.00025545,0.00025545,0.00025545
17,65.4376,1.36815,2.83105,1.21469,0.00364,1,0.38602,0.16079,1.37741,3.68455,1.12169,0.000269312,0.000269312,0.000269312
